,CIK,GVKEY,NAICS,MCAP,REVT,ROA,NPM,NUM_SAVVY,NUM_DIR,ROE
0,1750.0,1004.0,423860.0,1476.90625,1651.4,0.062,-0.007,2,11,0.088
1,6201.0,1045.0,481111.0,11633.19488,29882.0,-0.091,-0.256,5,11,
2,3197.0,1050.0,333413.0,218.22444,324.14,0.075,0.046,2,8,0.048
3,764622.0,1075.0,2211.0,7971.51693,3803.835,0.074,0.18,5,11,0.063
4,1808834.0,1076.0,522220.0,2546.05351,2677.92,0.635,0.029,2,9,0.114
5,1800.0,1078.0,334510.0,248276.90068,43075.0,0.115,0.104,1,6,0.22
6,2098.0,1104.0,332215.0,118.6577,182.088,0.119,0.045,2,5,0.077
7,2186.0,1117.0,334220.0,40.6077749,45.364,-0.02,-0.053,2,7,-0.371
8,2178.0,1121.0,424720.0,121.11255,2025.204,0.036,-0.002,4,8,0.082
9,2488.0,1161.0,334413.0,173687.3,16434.0,0.242,0.102,2,5,0.069
10,2969.0,1209.0,325120.0,56701.98567,10323.0,0.151,0.215,2,7,0.154
11,353184.0,1210.0,492110.0,68.50514,175.121,0.042,-0.016,2,3,0.017
12,766421.0,1230.0,481111.0,6559.7026,6176.0,-0.043,-0.14,2,12,0.013
13,701288.0,1234.0,339112.0,1269.5249,165.009,0.188,0.219,1,6,0.142
14,3453.0,1254.0,483113.0,3691.23,3925.3,0.1,0.055,0,1,0.63
15,3545.0,1266.0,111310.0,257.69024,108.564,0.04,0.256,3,9,0.044
16,775368.0,1274.0,524126.0,9078.55641,12001.005,0.008,-0.003,3,9,0.04
17,773840.0,1300.0,336413.0,142787.648,34392.0,0.124,0.15,5,11,0.263
18,4127.0,1327.0,334413.0,27238.134,5109.1,0.259,0.243,3,8,0.236
19,4447.0,1380.0,2111.0,22930.42235,7473.0,-0.006,-0.64,1,4,0.276
20,4457.0,1393.0,532120.0,12011.8608,4541.985,0.097,0.125,2,4,0.148
21,771497.0,1410.0,561720.0,2961.96102,6228.6,0.104,0.0,4,11,0.134
22,1475922.0,1414.0,524113.0,6033.93336,2709.732,0.04,0.176,4,9,0.136
23,1783400.0,1439.0,562211.0,998.7638,988.001,0.089,-0.325,5,10,-0.004
24,4904.0,1440.0,2211.0,44859.74164,16792.0,0.07,0.129,5,11,0.078
25,4962.0,1447.0,522210.0,124499.6,43663.0,0.034,0.083,4,9,0.332
26,4977.0,1449.0,524114.0,38077.98748,21037.0,0.029,0.209,4,10,0.159
27,5272.0,1487.0,524126.0,46550.54282,52046.0,0.016,-0.111,4,11,0.239
28,1801075.0,1526.0,524113.0,5077.34108,4203.114,0.016,0.091,2,9,0.089
29,1102238.0,1545.0,531120.0,204.3228,61.229,0.028,0.132,0,1,1.294
30,744825.0,1559.0,621999.0,14.33613,17.628,0.136,-0.035,0,1,0.063
31,713425.0,1562.0,511210.0,679.93547,111.408,0.075,0.057,1,5,0.08
32,5981.0,1585.0,325320.0,506.23793,556.872,0.056,0.024,3,9,0.071
33,1037868.0,1598.0,334513.0,34063.58048,5546.514,0.133,0.188,2,4,0.15
34,318154.0,1602.0,325414.0,125600.751,25979.0,0.206,0.294,4,10,1.498
35,6176.0,1613.0,332111.0,95.92,344.92,0.052,0.026,3,11,-0.114
36,6207.0,1618.0,237210.0,78.3561,40.069,0.023,-0.091,0,3,0.184
37,6281.0,1632.0,334413.0,91139.67519,7318.286,0.113,0.218,2,6,0.067
38,821026.0,1659.0,424510.0,1310.68189,12612.05,0.04,-0.001,4,11,0.118
39,1841666.0,1678.0,2111.0,9328.97459,8079.0,-0.29,-1.674,0,1,0.062
40,6845.0,1686.0,332321.0,961.7036,1230.774,0.114,0.055,2,9,0.131
41,320193.0,1690.0,334220.0,2324390.219,365817.0,0.234,0.209,3,9,1.755
42,6951.0,1704.0,333242.0,121891.8,23063.0,0.234,0.21,1,9,0.533
43,6955.0,1706.0,333132.0,1515.18552,528.66,0.052,0.009,3,6,0.053
44,7039.0,1712.0,324110.0,190.6072,272.69,0.067,-0.064,1,7,0.04
45,7084.0,1722.0,31122.0,37850.4,85249.0,0.058,0.025,3,12,0.167
46,894405.0,1743.0,484122.0,2980.30995,3980.067,0.11,0.015,1,2,0.312
47,7536.0,1773.0,423690.0,9139.22182,34477.018,0.066,0.017,2,9,0.27
48,7623.0,1783.0,333111.0,16.06806,24.965,-0.151,-0.094,1,5,0.041
49,1674862.0,1794.0,3252.0,5079.84,2111.0,0.069,-0.211,4,10,0.057
50,8146.0,1820.0,334118.0,76.626,116.033,0.049,-0.008,2,6,0.007
51,8063.0,1823.0,336320.0,377.736,444.908,0.042,-0.222,0,9,-0.107
52,744187.0,1864.0,325193.0,458.388,372.846,0.009,0.008,1,8,0.094
53,769397.0,1878.0,519130.0,60923.628,3790.4,0.127,0.117,5,11,0.669
54,8670.0,1891.0,518210.0,84155.294,15005.4,0.09,0.171,4,10,0.64
55,8818.0,1913.0,322220.0,17889.98142,8408.3,0.168,0.078,6,10,0.421
56,8858.0,1919.0,423690.0,3992.00808,19534.679,0.043,-0.005,3,10,0.182
57,8947.0,1926.0,335122.0,1282.76772,838.917,0.122,0.014,3,9,0.107
58,9092.0,1968.0,334514.0,3116.88,505.198,0.21,0.115,2,10,0.161
59,9326.0,1979.0,325412.0,5443.5882,799.023,0.142,0.12,3,8,0.116
60,9389.0,1988.0,332431.0,30887.65188,13811.0,0.115,0.045,3,7,0.222
61,46195.0,2005.0,522110.0,3371.59128,698.069,0.016,0.226,9,14,0.173
62,1506307.0,6310.0,486210.0,35960.83712,16610.0,0.079,0.01,1,4,0.082
63,1390777.0,2019.0,522110.0,46704.7416,16158.0,0.022,0.241,1,9,0.077
64,9984.0,2049.0,332613.0,2361.41415,1258.846,0.099,0.072,1,6,0.018
65,10048.0,2052.0,2111.0,28.62138,18.105,-0.219,-0.259,1,2,0.532
66,10329.0,2080.0,337122.0,148.77288,486.534,0.001,-0.027,3,8,0.144
67,10456.0,2086.0,325412.0,43058.6316,12784.0,0.148,0.079,5,13,-0.259
68,109563.0,2101.0,423830.0,3507.26696,3235.919,0.119,0.006,2,9,0.262
69,10795.0,2111.0,339112.0,69929.89032,20248.0,0.084,0.051,4,10,0.066
70,729580.0,2124.0,334416.0,161.90946,543.494,0.054,0.006,2,3,0.218
71,732712.0,2136.0,517312.0,218117.63604,133613.0,0.155,0.143,0,1,0.157
72,1067983.0,2176.0,999977.0,662627.355,354636.0,0.091,0.128,1,7,-0.003
73,764478.0,2184.0,443142.0,27966.74,47262.0,0.199,0.038,5,11,0.478
74,12208.0,2220.0,334516.0,22615.72124,2890.702,0.055,1.479,1,2,-0.414
75,1130464.0,2259.0,2211.0,4568.63123,1949.102,0.086,0.13,2,10,0.078
76,12659.0,2269.0,541213.0,4039.43316,3413.987,0.18,0.066,8,10,-3.107
77,12927.0,2285.0,336411.0,118560.77044,62272.0,0.005,-0.07,5,12,
78,315213.0,2312.0,561320.0,12343.70272,6461.444,0.195,0.061,1,7,0.483
79,1393066.0,2337.0,322121.0,1172.736,3664.0,0.057,-0.003,2,8,0.252
80,14272.0,2403.0,325412.0,135673.6,46385.0,0.145,-0.001,2,10,0.174
81,14693.0,2435.0,312140.0,36517.44812,3461.0,0.204,0.276,2,10,0.3
82,14707.0,2436.0,448210.0,573.66626,2117.07,0.007,-0.161,4,10,0.496
83,14930.0,2444.0,333618.0,7749.46109,5846.2,0.17,0.086,3,9,0.332
84,1104657.0,2448.0,331410.0,1879.98912,1510.644,0.098,0.02,4,9,0.103
85,15615.0,2497.0,237130.0,7052.86812,7951.781,0.14,0.049,3,8,0.037
86,746838.0,2504.0,541512.0,1382.304,2054.4,0.076,-0.087,1,9,
87,733269.0,2536.0,519130.0,3539.72052,443.026,-0.073,-0.215,5,8,-0.097
88,1739940.0,2547.0,524114.0,74158.54924,174274.0,0.076,0.034,4,7,0.12
89,21175.0,2558.0,524126.0,11961.72512,11546.0,0.013,0.055,1,2,0.08
90,356037.0,2573.0,541512.0,39.2379806,49.208,-0.017,-0.023,2,4,0.052
91,277948.0,2574.0,482111.0,82787.1912,12522.0,0.146,0.261,2,4,0.198
92,26058.0,2577.0,33441.0,1181.61288,512.925,0.107,0.072,2,6,0.113
93,320121.0,2578.0,541512.0,1029.54714,242.433,0.204,-0.031,2,8,-0.221
94,766792.0,2581.0,333249.0,27.76599,16.447,-0.037,-0.176,1,4,-0.103
95,16040.0,2593.0,325180.0,2843.15724,3400.0,0.131,-0.091,2,11,0.211
96,16058.0,2596.0,541512.0,6009.09648,6044.135,0.11,0.06,7,10,0.113
97,730255.0,2615.0,334220.0,393.50793,308.587,0.039,-0.235,0,2,-0.572
98,1035201.0,2628.0,221310.0,3860.03176,790.909,0.076,0.118,0,1,0.055
99,16732.0,2663.0,311422.0,13203.44,8476.0,0.139,0.083,3,13,0.18
100,16918.0,2710.0,312120.0,41414.24772,8614.9,0.121,0.235,0,3,0.009
101,721371.0,2751.0,424210.0,16613.19,162467.0,0.065,0.006,4,14,-0.915
102,790051.0,2771.0,324122.0,12902.24,4810.3,0.129,0.084,4,8,0.315
103,17843.0,2787.0,331110.0,1932.20902,1475.6,0.057,-0.045,3,9,-0.028
104,18230.0,2817.0,333120.0,110789.48512,50971.0,0.124,0.076,3,5,0.444
105,18255.0,2818.0,448120.0,257.00748,575.111,-0.085,-0.069,3,8,-0.013
106,278166.0,2820.0,321992.0,2083.50835,1108.051,0.106,0.062,4,7,0.329
107,18926.0,2884.0,517311.0,12845.0756,19687.0,0.133,0.061,4,12,0.127
108,19584.0,2960.0,621610.0,7889.57352,2139.261,0.278,0.131,1,10,0.369
109,19617.0,2968.0,522110.0,466205.99415,127202.0,0.02,0.191,3,10,0.145
110,19745.0,2986.0,221210.0,2574.27555,569.968,0.093,0.137,4,11,0.084
111,749647.0,2990.0,325414.0,46.74132,0.5,-0.43,-43.148,1,9,-0.516
112,93410.0,2991.0,324110.0,226462.7341,155606.0,0.072,-0.11,2,2,0.215
113,703351.0,3007.0,722511.0,2838.915,3337.8,0.098,0.007,4,9,
114,20212.0,3028.0,713210.0,9178.29,1597.2,0.056,0.002,3,7,0.738
