,Unnamed: 0.1,Unnamed: 0,CIK,GVKEY,NAICS,COMPANY_NAME,MCAP,REVT,ROA,NPM,REVCHANGE,ROE,NUM_SAVVY,NUM_DIR,COMMITTEES,Directors
0,0,0,1750.0,1004.0,423860.0,AAR Corp.,1476.90625,1651.4,0.062,-0.007,38.9802127789916,0.088,2,11,compensation committee;audit committee,"walfish, marc; vogel, jennifer; dietrich, john; boyce, michael; pace, peter; holmes, john; anderson, anthony; lord, ellen; mcnabb, duncan; nolen, billy"
1,1,1,3197.0,1050.0,333413.0,CECO Environmental Corp.,218.22444,324.14,0.075,0.046,-4.86274509803922,0.048,5,8,compensation committee;audit committee,"dezwirek, jason; siegel, laurie; sachs, valerie; mannarino, claudio; gleason, todd; nanda, munish"
2,2,2,764622.0,1075.0,2211.0,Pinnacle West Capital Corporation,7971.51693,3803.835,0.074,0.18,12.0375498481287,0.063,1,11,audit committee,"fox, richard; munro, kathryn; nordstrom, bruce; bryan, glynis; trevathan, james; spence, william; sims, paula; de la melena, gonzalo; guldner, jeffrey"
3,3,3,1808834.0,1076.0,522220.0,"PROG Holdings, Inc.",2546.05351,2677.92,0.635,0.029,-3.08311642119218,0.114,3,9,compensation committee;audit committee,"curling, douglas; robinson, ray; day, cynthia; michaels, steven; martinez, ramon; betty, kathy; sheu, sio-chin; doman, curtis"
4,4,4,1800.0,1078.0,334510.0,Abbott Laboratories,248276.90068,43075.0,0.115,0.104,1.32407852839438,0.22,1,6,compensation committee;audit committee,"starks, daniel; stratton, john; mckinstry, nancy; roman, michael; alpern, robert; o’grady, michael; kumbier, michelle; ford, robert; blount, sally; babineaux-fontenot, claire; gonzalez, patricia"
5,5,5,2186.0,1117.0,334220.0,BK Technologies Corporation,40.6077749,45.364,-0.02,-0.053,6.12181767562718,-0.371,0,7,compensation committee;audit committee,"sams, lloyd; horowitz, joshua; lanktree, charles; suzuki, john; payne, e.; jackson, r."
6,6,6,2178.0,1121.0,424720.0,"Adams Resources & Energy, Inc.",121.11255,2025.204,0.036,-0.002,10.9654373810131,0.082,0,8,compensation committee;audit committee,"pressler, townes; niemann, john; roycraft, kevin; earley, michelle; brasseux, murray; jenner, richard; dominic, dennis"
7,7,7,2969.0,1209.0,325120.0,"Air Products and Chemicals, Inc.",56701.98567,10323.0,0.151,0.215,30.367357315368,0.154,3,7,Finance committee;compensation committee,"ghasemi, seifollah; paull, matthew; monser, edward; cogut, charles; zaldumbide, santiago; loader, william; marcegaglia, emma; wood, andrew; krumnow, jurgen; faure, patrick; smith, wayne; boyce, graham; caio, francesca; calaway, tonit; graziano, jessica; davis, lisa"
8,8,8,766421.0,1230.0,481111.0,"Alaska Air Group, Inc.",6559.7026,6176.0,-0.043,-0.14,33.3953997466018,0.013,7,12,compensation committee;audit committee,"yeaman, eric; beer, james; minicucci, benito; bedient, patricia; hogan, kathleen; conner, raymond; fonseca, dhiren; sandvik, helvi; elwell, daniel; lofton, adrienne"
9,9,9,701288.0,1234.0,339112.0,Atrion Corporation,1269.5249,165.009,0.188,0.219,18.7075740632826,0.142,1,6,compensation committee;audit committee,"battat, emile; morgan, hugh; stupp, john; spaulding, ronald; athey, preston; bankes, jeannette"
10,10,10,3545.0,1266.0,111310.0,"Alico, Inc.",257.69024,108.564,0.04,0.256,17.9608545477805,0.044,0,9,compensation committee;audit committee,"slack, henry; krusen, w.; kiernan, john; brokaw, george; fishman, benjamin; purse, toby; english, katherine; putnam, adam"
11,11,11,775368.0,1274.0,524126.0,Alleghany Corporation,9078.55641,12001.005,0.008,-0.003,35.9734605017624,0.04,1,9,compensation committee;audit committee,"tyler, lauren; foos, john; brenner, karen; brandon, joseph; martineau, phillip; kirby, jefferson; wong, raymond l.; chippendale, ian; cheesman, chris"
12,12,12,773840.0,1300.0,336413.0,Honeywell International Inc.,142787.648,34392.0,0.124,0.15,10.0797794077578,0.263,1,11,compensation committee;audit committee,"angove, duncan b.; ayer, william; davis, d.; lee, rose; kapur, vimal; washington, robin; adamczyk, darius; lieblein, grace; flint, deborah; watson, robin"
13,13,13,4127.0,1327.0,334413.0,"Alpha Industries, Inc.",27238.134,5109.1,0.259,0.243,9.61777573106147,0.236,3,8,compensation committee;audit committee,no directors found
14,14,14,771497.0,1410.0,561720.0,ABM Industries Incorporated,2961.96102,6228.6,0.104,0.0,3.0282524107596,0.134,2,11,compensation committee;Risk committee;audit committee,"webb, winifred; colleran, donald; gartland, thomas; devries, james; kesavan, sudhakar; baker, leighanne"
15,15,15,1475922.0,1414.0,524113.0,"Primerica, Inc.",6033.93336,2709.732,0.04,0.176,6.86172636951964,0.136,3,9,compensation committee;audit committee,"crittenden, gary; dheer, sanjeev; addison, john; yastine, barbara; babbit, joel; williams, glenn; cottle, amber"
16,16,16,1783400.0,1439.0,562211.0,"US Ecology, Inc.",998.7638,988.001,0.089,-0.325,34.0074178735429,-0.004,0,10,compensation committee;audit committee,"goebel, brian"
17,17,17,4904.0,1440.0,2211.0,"American Electric Power Company, Inc.",44859.74164,16792.0,0.07,0.129,38.9768201776779,0.078,10,11,HR committee;audit committee,"james, donna; goodspeed, linda; garcia, art; fowke, benjamin gwynn; lin, sandra; tucker, sara alicia; beasley, james; von thaer, lewis; stoddard, daniel; sloat, julia; roberts, daryl"
18,18,18,4962.0,1447.0,522210.0,American Express Company,124499.6,43663.0,0.034,0.083,-1.59151193633952,0.332,0,9,Risk committee,"leonsis, theodore; chernin, peter; campbell, jeffrey; brennan, john; phillips, charles; de la vega, ralph; parkhill, karen; pike, lynn; young, christopher; squeri, stephen; baltimore, thomas; clayton, walter; majoras, deborah"
19,19,19,4977.0,1449.0,524114.0,Aflac Incorporated,38077.98748,21037.0,0.029,0.209,20.2136653600799,0.159,3,10,compensation committee;Risk committee,"amos, daniel; amos, john; rimer, barbara; lake, charles ditmars; bowers, william; kenny, thomas; rohrer, katherine; lloyd, karole; collins, arthur; koide, masatoshi; moskowitz, joseph; mori, nobuchika; hosoda, miwako"
20,20,20,5272.0,1487.0,524126.0,"American International Group, Inc.",46550.54282,52046.0,0.016,-0.111,0.382371009064624,0.239,6,11,audit committee,"rice, john; cornwell, wyllie; dunne, james; porrino, peter; vaughan, therese; fato, luciana; mills, linda; zaffino, peter; cole, james; bergamaschi, paola"
21,21,21,1801075.0,1526.0,524113.0,"American National Group, Inc.",5077.34108,4203.114,0.016,0.091,14.4988416202042,0.089,0,9,compensation committee;audit committee,"moody, ross; payne, james; herz, irwin; lucas, r.; mcleod, erle; moody-dahlberg, frances; moody, russell; dummer, arthur; pederson, elvin; yarbrough, james; pozzi, james; ansell, william"
22,22,22,5981.0,1585.0,325320.0,American Vanguard Corporation,506.23793,556.872,0.056,0.024,11.6541136409546,0.071,0,9,Finance committee;compensation committee;Risk committee;audit committee,"rosenbloom, keith; wintemute, eric; erlich, morton; gottschalk, patrick; edwards, debra; baskin, scott; bassett, mark; gunter, émer; angelini, marisol"
